temperature,humidity,ph,water availability,season,label,Country,harvest season
20.87974371,82.00274423,6.502985292,202.9355362,rainy,rice,Nigeria,spring
21.77046169,80.31964408,7.038096361,226.6555374,rainy,rice,Nigeria,winter
23.00445915,82.3207629,7.840207144,263.9642476,rainy,rice,Nigeria,rainy
26.49109635,80.15836264,6.980400905,242.8640342,rainy,rice,Nigeria,rainy
20.13017482,81.60487287,7.628472891,262.7173405,rainy,rice,Nigeria,spring
23.05804872,83.37011772,7.073453503,251.0549998,rainy,rice,South Africa,winter
22.70883798,82.63941394,5.70080568,271.3248604,rainy,rice,Nigeria,summer
20.27774362,82.89408619,5.718627178,241.9741949,rainy,rice,Kenya,spring
24.51588066,83.5352163,6.685346424,230.4462359,rainy,rice,Nigeria,winter
23.22397386,83.03322691,6.336253525,221.2091958,rainy,rice,Nigeria,summer
26.52723513,81.41753846,5.386167788,264.6148697,rainy,rice,Nigeria,summer
23.97898217,81.45061596,7.50283396,250.0832336,rainy,rice,Kenya,winter
26.80079604,80.88684822,5.108681786,284.4364567,rainy,rice,South Africa,spring
24.01497622,82.05687182,6.98435366,185.2773389,rainy,rice,South Africa,rainy
25.66585205,80.66385045,6.94801983,209.5869708,rainy,rice,Kenya,summer
24.28209415,80.30025587,7.042299069,231.0863347,rainy,rice,South Africa,spring
21.58711777,82.7883708,6.249050656,276.6552459,rainy,rice,Nigeria,winter
23.79391957,80.41817957,6.970859754,206.2611855,rainy,rice,Nigeria,winter
21.8652524,80.1923008,5.953933276,224.5550169,rainy,rice,South Africa,winter
23.57943626,83.58760316,5.85393208,291.2986618,rainy,rice,South Africa,winter
21.32504158,80.47476396,6.442475375,185.4974732,rainy,rice,South Africa,rainy
25.15745531,83.11713476,5.070175667,231.3843163,rainy,rice,Nigeria,rainy
21.94766735,80.97384195,6.012632591,213.3560921,rainy,rice,Nigeria,rainy
21.0525355,82.67839517,6.254028451,233.1075816,rainy,rice,Nigeria,winter
23.48381344,81.33265073,7.375482851,224.0581164,rainy,rice,South Africa,spring
25.0756354,80.52389148,7.778915154,257.0038865,rainy,rice,Kenya,summer
26.35927159,84.04403589,6.286500176,271.3586137,rainy,rice,Nigeria,rainy
24.52922681,80.54498576,7.070959995,260.2634026,rainy,rice,Kenya,rainy
20.77576147,84.49774397,6.244841491,240.0810647,rainy,rice,South Africa,summer
22.30157427,80.64416466,6.043304899,197.9791215,rainy,rice,South Africa,winter
21.44653958,84.94375962,5.824709117,272.2017204,rainy,rice,South Africa,winter
22.17931888,80.33127223,6.357389366,200.0882787,rainy,rice,Nigeria,winter
24.52783742,82.73685569,6.364134968,224.6757231,rainy,rice,Nigeria,spring
20.26707606,81.63895217,5.01450727,270.4417274,rainy,rice,Kenya,spring
